"","country","Sex","Year","Age","Mx","Dx","Nx"
"1","England and Wales","Females",2010,50,0.00218054546024938,811.021481034217,371935.14
"2","England and Wales","Females",2010,51,0.00239735830627007,880.228939351616,367166.2
"3","England and Wales","Females",2010,52,0.00263571301797086,939.215511821073,356342.1
"4","England and Wales","Females",2010,53,0.00289614282559267,997.808232508582,344530.05
"5","England and Wales","Females",2010,54,0.00317876058733244,1063.29780053314,334500.75
"6","England and Wales","Females",2010,55,0.00348314026155343,1130.89995428852,324678.27
"7","England and Wales","Females",2010,56,0.00380876153715682,1236.53069644973,324654.27
"8","England and Wales","Females",2010,57,0.00415700858307349,1336.24201666035,321443.17
"9","England and Wales","Females",2010,58,0.00453014484804288,1432.24583850515,316158.95
"10","England and Wales","Females",2010,59,0.00493090907613342,1579.77283512069,320381.66
"11","England and Wales","Females",2010,60,0.00536259932067749,1755.20487351643,327304.87
"12","England and Wales","Females",2010,61,0.00582958839428785,1972.53567253928,338366.2
"13","England and Wales","Females",2010,62,0.00633961960965767,2245.54087628401,354207.51
"14","England and Wales","Females",2010,63,0.00690329343878167,2584.41937661694,374374.84
"15","England and Wales","Females",2010,64,0.00753394418180946,2347.49850335345,311589.58
"16","England and Wales","Females",2010,65,0.00824833887690393,2446.98124537517,296663.52
"17","England and Wales","Females",2010,66,0.00906617308149745,2608.7751664128,287748.22
"18","England and Wales","Females",2010,67,0.0100003456707737,2764.17654620179,276408.1
"19","England and Wales","Females",2010,68,0.011059325426936,2773.56700729548,250789.89
"20","England and Wales","Females",2010,69,0.0122504746801062,2848.0008890393,232480.86
"21","England and Wales","Females",2010,70,0.0135792531510602,3208.09149572633,236249.48
"22","England and Wales","Females",2010,71,0.0150501267589314,3565.35892555521,236898.93
"23","England and Wales","Females",2010,72,0.0166859847928496,3900.37480860501,233751.55
"24","England and Wales","Females",2010,73,0.0185288931951238,4157.75300428876,224392.95
"25","England and Wales","Females",2010,74,0.0206336421428574,4464.08146216887,216349.66
"26","England and Wales","Females",2010,75,0.0230713987256739,4791.88429538096,207698.04
"27","England and Wales","Females",2010,76,0.0259324606793316,5157.99080563209,198900.94
"28","England and Wales","Females",2010,77,0.029291858034125,5652.29020421881,192964.55
"29","England and Wales","Females",2010,78,0.033201183807184,6305.65979990401,189922.74
"30","England and Wales","Females",2010,79,0.0377069230999162,6995.71340717357,185528.62
"31","England and Wales","Females",2010,80,0.042845668318733,7597.05628241138,177312.12
"32","England and Wales","Females",2010,81,0.0486390253813824,8078.38860373878,166088.62
"33","England and Wales","Females",2010,82,0.0551322615979505,8549.61065778445,155074.55
"34","England and Wales","Females",2010,83,0.0624162550926283,9102.83782403808,145840.82
"35","England and Wales","Females",2010,84,0.0706000342139378,9634.25152091675,136462.42
"36","England and Wales","Females",2010,85,0.0798126567088736,10075.8075778094,126243.23
"37","England and Wales","Females",2010,86,0.0902068032926737,10539.3217854479,116835.11
"38","England and Wales","Females",2010,87,0.101933987712623,10938.2375548576,107307.07
"39","England and Wales","Females",2010,88,0.115120918459623,11363.8920827925,98712.66
"40","England and Wales","Females",2010,89,0.129890401364562,12141.2117152453,93472.74
"41","England and Wales","Females",2010,90,0.146359030760459,10782.7278998893,73673.13
"42","England and Wales","Females",2010,91,0.16463169924172,8036.95407460845,48817.78
"43","England and Wales","Females",2010,92,0.184786813217481,6911.23931916897,37401.15
"44","England and Wales","Females",2010,93,0.206857262264495,6719.80367325981,32485.22
"45","England and Wales","Females",2010,94,0.230827909214994,6428.00328465547,27847.6
"46","England and Wales","Females",2010,95,0.25662506862468,5693.8866738649,22187.57
"47","England and Wales","Females",2010,96,0.284105135330718,4816.78664962947,16954.24
"48","England and Wales","Females",2010,97,0.313129240978202,3792.80298168776,12112.58
"49","England and Wales","Females",2010,98,0.343711515728071,2851.71257792297,8296.82
"50","England and Wales","Females",2010,99,0.375913429338939,2076.66983509998,5524.33
"51","England and Wales","Females",2010,100,0.409828619505226,1463.68242313194,3571.45
"52","England and Wales","Females",2010,101,0.445588954988133,1006.57653753909,2258.98
"53","England and Wales","Females",2010,102,0.482816468364236,663.838846848039,1374.93
"54","England and Wales","Females",2010,103,0.519230092881845,416.24599625966,801.66
"55","England and Wales","Females",2010,104,0.551579514069746,241.293974224951,437.46
"56","England and Wales","Females",2010,105,0.576059397080453,130.448650468869,226.45
"57","England and Wales","Females",2010,106,0.588677773970686,69.9408063254572,118.81
"58","England and Wales","Females",2010,107,0.591340978131443,35.6519475715447,60.29
"59","England and Wales","Females",2010,108,0.608948303194487,17.7934694193429,29.22
"60","England and Wales","Females",2010,109,0.6766989345757,10.3467267096625,15.29
"61","England and Wales","Females",2010,110,0.854227769409794,9.37087863042544,10.97
